person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_int_rate
21,43971,MORTGAGE,5.0,PERSONAL,A,4600,0,0.1,false,4,5.42
21,95400,MORTGAGE,0.0,PERSONAL,A,12000,0,0.13,false,2,5.42
21,57000,RENT,3.0,PERSONAL,A,3000,0,0.05,false,3,5.42
21,36000,MORTGAGE,1.0,MEDICAL,A,4000,0,0.11,false,3,5.42
21,55000,MORTGAGE,5.0,PERSONAL,A,12000,0,0.22,false,2,5.42
21,55272,RENT,5.0,VENTURE,A,5000,0,0.09,false,3,5.42
21,31000,MORTGAGE,5.0,EDUCATION,A,7500,0,0.24,false,4,5.42
21,32000,RENT,5.0,EDUCATION,A,7200,0,0.23,false,4,5.42
21,32400,MORTGAGE,2.0,EDUCATION,A,10000,0,0.31,false,2,5.42
21,70000,MORTGAGE,6.0,DEBTCONSOLIDATION,A,6000,0,0.09,false,3,5.42
21,26940,RENT,1.0,EDUCATION,A,2500,0,0.09,false,4,5.42
21,59000,RENT,1.0,EDUCATION,A,5500,0,0.09,false,2,5.42
21,42000,RENT,6.0,EDUCATION,A,7200,0,0.17,false,4,5.42
21,40000,RENT,4.0,VENTURE,A,5000,0,0.13,false,2,5.79
21,72100,RENT,6.0,PERSONAL,A,12000,0,0.17,false,2,5.79
21,14400,RENT,0.0,DEBTCONSOLIDATION,A,2000,0,0.14,false,2,5.79
21,30000,RENT,5.0,VENTURE,A,12000,1,0.4,false,3,5.79
21,35100,RENT,1.0,EDUCATION,A,3500,0,0.1,false,2,5.79
21,41000,RENT,5.0,EDUCATION,A,7000,0,0.17,false,3,5.79
21,40000,RENT,4.0,EDUCATION,A,5000,0,0.13,false,2,5.79
21,42000,RENT,5.0,EDUCATION,A,1500,0,0.04,false,3,5.79
21,30000,RENT,5.0,EDUCATION,A,12000,1,0.4,false,2,5.79
21,41000,MORTGAGE,,PERSONAL,A,3000,0,0.07,false,4,5.79
21,45996,OWN,5.0,VENTURE,A,10000,0,0.22,false,3,5.79
21,40000,MORTGAGE,3.0,DEBTCONSOLIDATION,A,6000,0,0.15,false,3,5.79
21,65000,OWN,5.0,MEDICAL,A,5000,0,0.08,false,4,5.79
21,35000,RENT,3.0,EDUCATION,A,1500,0,0.04,false,2,5.79
21,125000,MORTGAGE,2.0,PERSONAL,A,6000,0,0.05,false,2,5.79
21,26000,OWN,5.0,EDUCATION,A,6000,0,0.23,false,2,5.79
21,48000,RENT,1.0,DEBTCONSOLIDATION,A,10000,0,0.21,false,2,5.79
21,37500,MORTGAGE,5.0,PERSONAL,A,12000,0,0.32,false,2,5.79
21,45000,RENT,1.0,PERSONAL,A,6800,0,0.15,false,3,5.79
21,41000,RENT,5.0,VENTURE,A,7000,0,0.17,false,2,5.79
21,40116,RENT,2.0,VENTURE,A,6500,0,0.16,false,3,5.79
21,52000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,13250,0,0.25,false,2,5.99
21,87547,MORTGAGE,2.0,EDUCATION,A,12000,0,0.14,false,2,5.99
21,30000,MORTGAGE,6.0,PERSONAL,A,3000,0,0.1,false,4,5.99
21,54000,RENT,5.0,DEBTCONSOLIDATION,A,5125,1,0.09,false,4,5.99
21,80000,MORTGAGE,5.0,EDUCATION,A,12000,0,0.15,false,2,5.99
21,78000,RENT,4.0,VENTURE,A,10000,0,0.13,false,2,5.99
21,36000,MORTGAGE,3.0,DEBTCONSOLIDATION,A,4000,0,0.11,false,4,5.99
21,30000,OWN,5.0,MEDICAL,A,9000,0,0.3,false,4,5.99
21,50031,MORTGAGE,5.0,PERSONAL,A,2000,0,0.04,false,2,5.99
21,27600,RENT,5.0,EDUCATION,A,7000,0,0.25,false,2,5.99
21,30000,MORTGAGE,6.0,MEDICAL,A,3000,0,0.1,false,3,5.99
21,131000,RENT,0.0,VENTURE,A,30000,0,0.23,false,4,5.99
21,21600,MORTGAGE,2.0,DEBTCONSOLIDATION,A,3800,0,0.18,false,2,5.99
21,75000,MORTGAGE,5.0,PERSONAL,A,9000,0,0.12,false,4,5.99
21,32000,MORTGAGE,,MEDICAL,A,8000,0,0.25,false,3,5.99
21,60000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,10000,0,0.17,false,2,5.99
21,17916,RENT,1.0,MEDICAL,A,3000,1,0.17,false,3,6.0
21,33000,OWN,,PERSONAL,A,2500,0,0.08,false,4,6.03
21,30000,MORTGAGE,5.0,PERSONAL,A,7600,0,0.25,false,4,6.03
21,45600,MORTGAGE,5.0,MEDICAL,A,6000,0,0.13,false,4,6.03
21,90000,OWN,6.0,MEDICAL,A,12000,0,0.13,false,3,6.03
21,15300,OWN,5.0,MEDICAL,A,2500,1,0.16,false,2,6.03
21,47760,MORTGAGE,2.0,PERSONAL,A,15000,0,0.31,false,2,6.03
21,70000,MORTGAGE,5.0,MEDICAL,A,7000,0,0.1,false,3,6.03
21,48000,RENT,0.0,PERSONAL,A,10000,0,0.21,false,3,6.03
21,57200,MORTGAGE,5.0,DEBTCONSOLIDATION,A,8000,0,0.14,false,2,6.03
21,82100,RENT,3.0,PERSONAL,A,12200,0,0.15,false,2,6.03
21,65000,MORTGAGE,5.0,VENTURE,A,10000,0,0.15,false,3,6.03
21,64424,RENT,3.0,PERSONAL,A,5000,0,0.08,false,4,6.03
21,30000,RENT,5.0,EDUCATION,A,8400,0,0.28,false,3,6.03
21,65000,MORTGAGE,5.0,EDUCATION,A,10000,0,0.15,false,3,6.03
21,41000,MORTGAGE,4.0,DEBTCONSOLIDATION,A,7000,0,0.17,false,3,6.03
21,31000,RENT,6.0,MEDICAL,A,6000,0,0.19,false,3,6.03
21,42000,RENT,4.0,DEBTCONSOLIDATION,A,4500,0,0.11,false,4,6.03
21,50000,RENT,1.0,EDUCATION,A,10000,0,0.2,false,4,6.03
21,50000,MORTGAGE,5.0,VENTURE,A,3500,0,0.07,false,4,6.03
21,28800,RENT,1.0,EDUCATION,A,3175,0,0.11,false,4,6.03
21,47580,MORTGAGE,5.0,EDUCATION,A,14000,0,0.29,false,2,6.03
21,19200,OWN,5.0,EDUCATION,A,3300,1,0.17,false,2,6.17
21,50808,RENT,2.0,EDUCATION,A,4000,0,0.08,false,4,6.17
21,55200,MORTGAGE,5.0,VENTURE,A,8900,0,0.16,false,2,6.17
21,50000,RENT,5.0,DEBTCONSOLIDATION,A,8075,0,0.16,false,2,6.17
21,37200,MORTGAGE,3.0,MEDICAL,A,16800,1,0.45,false,2,6.17
21,19253,MORTGAGE,,DEBTCONSOLIDATION,A,6250,1,0.32,false,3,6.17
21,37000,RENT,0.0,EDUCATION,A,3000,0,0.08,false,3,6.39
21,13200,RENT,2.0,HOMEIMPROVEMENT,A,4000,1,0.3,false,3,6.39
21,89610,RENT,3.0,DEBTCONSOLIDATION,A,5600,0,0.06,false,4,6.54
21,192000,MORTGAGE,0.0,EDUCATION,A,20000,0,0.1,false,2,6.54
21,72000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,2000,0,0.03,false,2,6.54
21,110000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,10000,0,0.09,false,2,6.54
21,55260,RENT,0.0,EDUCATION,A,14000,0,0.25,false,2,6.54
21,56400,OWN,5.0,VENTURE,A,5000,0,0.09,false,2,6.54
21,40000,RENT,0.0,EDUCATION,A,1775,0,0.04,false,3,6.54
21,36000,MORTGAGE,0.0,EDUCATION,A,14000,1,0.39,false,4,6.54
21,45000,RENT,3.0,PERSONAL,A,3200,0,0.07,false,4,6.54
21,50000,MORTGAGE,5.0,MEDICAL,A,15000,0,0.3,false,4,6.54
21,31200,RENT,,MEDICAL,A,15000,1,0.48,false,3,6.62
21,40000,MORTGAGE,5.0,PERSONAL,A,5000,0,0.13,false,2,6.62
21,55530,MORTGAGE,5.0,EDUCATION,A,3200,0,0.06,false,4,6.62
21,55692,RENT,5.0,PERSONAL,A,5600,0,0.1,false,2,6.62
21,30000,RENT,6.0,DEBTCONSOLIDATION,A,9200,1,0.31,false,3,6.62
21,36000,RENT,0.0,EDUCATION,A,4500,0,0.13,false,2,6.62
21,27700,RENT,5.0,PERSONAL,A,4800,0,0.17,false,4,6.62
21,26300,OWN,,MEDICAL,A,7500,0,0.29,false,4,6.62
21,36000,RENT,3.0,MEDICAL,A,15000,1,0.42,false,2,6.62
21,39600,OWN,5.0,PERSONAL,A,3500,0,0.09,false,3,6.62
21,69000,MORTGAGE,5.0,PERSONAL,A,13250,0,0.19,false,2,6.62
21,45000,RENT,5.0,VENTURE,A,10000,0,0.22,false,4,6.62
21,18000,RENT,5.0,PERSONAL,A,1800,0,0.1,false,3,6.62
21,43000,MORTGAGE,5.0,PERSONAL,A,7000,0,0.16,false,4,6.62
21,98280,MORTGAGE,2.0,DEBTCONSOLIDATION,A,10000,0,0.1,false,2,6.62
21,30000,RENT,2.0,MEDICAL,A,4150,0,0.14,false,3,6.76
21,27600,RENT,4.0,EDUCATION,A,7500,0,0.27,false,4,6.76
21,34000,MORTGAGE,5.0,PERSONAL,A,7200,1,0.21,false,2,6.76
21,34416,RENT,5.0,EDUCATION,A,2300,0,0.07,false,2,6.76
21,34000,MORTGAGE,5.0,EDUCATION,A,6000,0,0.18,false,2,6.76
21,40000,MORTGAGE,3.0,MEDICAL,A,2500,0,0.06,false,4,6.76
21,60000,MORTGAGE,5.0,PERSONAL,A,6000,0,0.1,false,4,6.91
21,165000,MORTGAGE,5.0,EDUCATION,A,20000,0,0.12,false,4,6.91
21,20000,RENT,3.0,PERSONAL,A,4400,0,0.22,false,4,6.91
21,41000,MORTGAGE,2.0,PERSONAL,A,8200,0,0.2,false,3,6.91
21,66000,MORTGAGE,5.0,MEDICAL,A,18000,0,0.27,false,3,6.91
21,75000,MORTGAGE,5.0,EDUCATION,A,8550,0,0.11,false,3,6.91
21,21000,RENT,2.0,VENTURE,A,5000,0,0.24,false,4,6.91
21,39600,MORTGAGE,5.0,MEDICAL,A,6400,1,0.16,false,2,6.91
21,60000,MORTGAGE,5.0,EDUCATION,A,6000,0,0.1,false,2,6.91
21,40000,MORTGAGE,3.0,DEBTCONSOLIDATION,A,8000,0,0.2,false,4,6.92
21,37459,MORTGAGE,6.0,EDUCATION,A,5600,0,0.15,false,2,6.92
21,30000,RENT,0.0,EDUCATION,A,4200,0,0.14,false,4,6.92
21,58000,MORTGAGE,3.0,EDUCATION,A,4500,0,0.08,false,4,6.92
21,21600,RENT,,DEBTCONSOLIDATION,A,6700,1,0.31,false,4,6.92
21,81600,MORTGAGE,6.0,EDUCATION,A,14400,0,0.18,false,4,6.92
21,70000,RENT,5.0,PERSONAL,A,14000,0,0.2,false,3,6.99
21,13200,RENT,2.0,DEBTCONSOLIDATION,A,1875,0,0.14,false,3,6.99
21,72252,MORTGAGE,0.0,VENTURE,A,8000,0,0.11,false,2,6.99
21,21600,OWN,,VENTURE,A,7125,0,0.33,false,3,6.99
21,42504,RENT,0.0,EDUCATION,A,6300,0,0.15,false,3,6.99
21,26784,MORTGAGE,,EDUCATION,A,2000,1,0.07,false,3,6.99
21,36000,MORTGAGE,5.0,PERSONAL,A,2800,0,0.08,false,2,6.99
21,70000,RENT,3.0,PERSONAL,A,12000,0,0.17,false,3,6.99
21,50000,RENT,1.0,DEBTCONSOLIDATION,A,10000,0,0.2,false,4,6.99
21,12720,RENT,1.0,EDUCATION,A,7500,1,0.59,false,4,7.05
21,38000,RENT,5.0,DEBTCONSOLIDATION,A,3000,0,0.08,false,4,7.05
21,22000,RENT,4.0,DEBTCONSOLIDATION,A,2500,0,0.11,false,4,7.14
21,47000,MORTGAGE,5.0,PERSONAL,A,7000,0,0.15,false,3,7.14
21,9900,OWN,2.0,VENTURE,A,2500,1,0.25,false,2,7.14
21,45000,MORTGAGE,3.0,MEDICAL,A,4500,0,0.1,false,2,7.14
21,74880,MORTGAGE,5.0,PERSONAL,A,8500,0,0.11,false,2,7.14
21,45000,MORTGAGE,5.0,PERSONAL,A,4000,0,0.09,false,3,7.14
21,100000,OWN,5.0,PERSONAL,A,5000,0,0.05,false,3,7.14
21,30000,RENT,3.0,DEBTCONSOLIDATION,A,2500,1,0.08,false,4,7.14
21,33000,MORTGAGE,2.0,HOMEIMPROVEMENT,A,3250,1,0.1,false,3,7.14
21,45000,MORTGAGE,4.0,EDUCATION,A,5000,0,0.11,false,4,7.14
21,14400,RENT,2.0,DEBTCONSOLIDATION,A,1200,0,0.08,false,3,7.14
21,99996,RENT,5.0,VENTURE,A,8000,0,0.08,false,4,7.14
21,70000,MORTGAGE,3.0,EDUCATION,A,9800,0,0.14,false,4,7.14
21,25000,RENT,5.0,VENTURE,A,5600,0,0.22,false,2,7.29
21,15600,OWN,5.0,VENTURE,A,1000,0,0.06,false,4,7.29
21,42000,MORTGAGE,1.0,DEBTCONSOLIDATION,A,2500,0,0.06,false,4,7.29
21,35000,OWN,5.0,EDUCATION,A,4000,0,0.11,false,2,7.29
21,30600,RENT,,DEBTCONSOLIDATION,A,7000,0,0.23,false,2,7.29
21,75000,MORTGAGE,5.0,EDUCATION,A,5400,0,0.07,false,3,7.29
21,57000,RENT,5.0,DEBTCONSOLIDATION,A,12000,0,0.21,false,4,7.29
21,28596,MORTGAGE,3.0,PERSONAL,A,2000,0,0.07,false,4,7.29
21,62004,RENT,0.0,VENTURE,A,15000,0,0.24,false,4,7.29
21,30000,RENT,0.0,DEBTCONSOLIDATION,A,1500,0,0.05,false,3,7.29
21,35000,OWN,5.0,VENTURE,A,4000,0,0.11,false,2,7.29
21,55600,RENT,2.0,MEDICAL,A,6000,0,0.11,false,4,7.3284227324204556
21,50000,RENT,5.0,DEBTCONSOLIDATION,A,11975,0,0.24,false,3,7.3284227324204556
21,30000,RENT,6.0,PERSONAL,A,3200,0,0.11,false,2,7.3284227324204556
21,46200,RENT,5.0,EDUCATION,A,6000,0,0.13,false,4,7.3284227324204556
21,14000,RENT,0.0,MEDICAL,A,2000,0,0.14,false,4,7.3284227324204556
21,20245,OWN,5.0,VENTURE,A,3550,0,0.18,false,4,7.3284227324204556
21,44000,MORTGAGE,2.0,DEBTCONSOLIDATION,A,12000,0,0.27,false,2,7.3284227324204556
21,80000,RENT,3.0,VENTURE,A,15000,0,0.19,false,2,7.3284227324204556
21,26400,RENT,3.0,MEDICAL,A,10000,1,0.38,false,2,7.3284227324204556
21,38400,MORTGAGE,0.0,EDUCATION,A,4200,0,0.11,false,2,7.3284227324204556
21,30000,RENT,0.0,DEBTCONSOLIDATION,A,1000,0,0.03,false,3,7.3284227324204556
21,95000,MORTGAGE,5.0,VENTURE,A,15000,0,0.16,false,2,7.3284227324204556
21,30000,RENT,0.0,VENTURE,A,3500,0,0.12,false,4,7.3284227324204556
21,80400,RENT,5.0,VENTURE,A,14400,0,0.18,false,4,7.3284227324204556
21,18996,RENT,0.0,DEBTCONSOLIDATION,A,6000,1,0.32,false,4,7.3284227324204556
21,28416,RENT,6.0,PERSONAL,A,4600,0,0.16,false,2,7.3284227324204556
21,25000,RENT,1.0,PERSONAL,A,10000,1,0.4,false,4,7.3284227324204556
21,21600,MORTGAGE,6.0,MEDICAL,A,7575,0,0.35,false,2,7.3284227324204556
21,65000,RENT,0.0,VENTURE,A,7000,0,0.11,false,4,7.3284227324204556
21,75000,MORTGAGE,6.0,DEBTCONSOLIDATION,A,10000,0,0.13,false,3,7.3284227324204556
21,82000,MORTGAGE,3.0,PERSONAL,A,11000,0,0.13,false,3,7.3284227324204556
21,86000,MORTGAGE,3.0,VENTURE,A,8400,0,0.1,false,4,7.3284227324204556
21,40000,RENT,5.0,EDUCATION,A,10000,0,0.25,false,2,7.3284227324204556
21,60000,RENT,5.0,MEDICAL,A,6000,0,0.1,false,4,7.3284227324204556
21,24000,RENT,5.0,EDUCATION,A,10000,1,0.42,false,2,7.3284227324204556
21,65253,MORTGAGE,5.0,VENTURE,A,16075,0,0.25,false,3,7.3284227324204556
21,49000,MORTGAGE,5.0,VENTURE,A,14000,0,0.29,false,3,7.3284227324204556
21,55600,RENT,2.0,PERSONAL,A,6000,0,0.11,false,3,7.3284227324204556
21,45000,OWN,2.0,VENTURE,A,6000,0,0.13,false,2,7.3284227324204556
21,40000,RENT,0.0,VENTURE,A,3000,0,0.07,false,3,7.3284227324204556
21,24000,RENT,1.0,EDUCATION,A,1500,0,0.06,false,3,7.3284227324204556
21,21600,MORTGAGE,6.0,PERSONAL,A,7575,0,0.35,false,3,7.3284227324204556
21,110400,OWN,0.0,PERSONAL,A,12000,0,0.11,false,3,7.3284227324204556
21,26004,OWN,5.0,VENTURE,A,7500,0,0.29,false,2,7.3284227324204556
21,110000,MORTGAGE,0.0,VENTURE,A,20000,0,0.18,false,4,7.3284227324204556
21,20000,RENT,0.0,MEDICAL,A,2000,0,0.1,false,3,7.3284227324204556
21,35000,MORTGAGE,2.0,VENTURE,A,800,0,0.02,false,3,7.37
21,15600,RENT,0.0,MEDICAL,A,2800,1,0.18,false,4,7.4
21,18000,OWN,5.0,HOMEIMPROVEMENT,A,6500,1,0.36,false,3,7.4
21,8000,RENT,1.0,DEBTCONSOLIDATION,A,2800,1,0.35,false,2,7.4
21,32000,RENT,1.0,VENTURE,A,2500,0,0.08,false,3,7.4
21,37200,RENT,2.0,MEDICAL,A,5100,0,0.14,false,4,7.49
21,45000,RENT,5.0,VENTURE,A,1000,0,0.02,false,3,7.49
21,150075,OWN,0.0,VENTURE,A,25000,0,0.17,false,2,7.49
21,57000,RENT,6.0,EDUCATION,A,4000,0,0.07,false,4,7.49
21,25200,RENT,2.0,EDUCATION,A,6000,0,0.24,false,3,7.49
21,49000,RENT,5.0,VENTURE,A,12500,0,0.26,false,4,7.49
21,35360,RENT,1.0,EDUCATION,A,2200,0,0.06,false,2,7.49
21,28800,MORTGAGE,0.0,DEBTCONSOLIDATION,A,5000,0,0.17,false,3,7.49
21,72000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,24000,0,0.33,false,3,7.49
21,53000,MORTGAGE,4.0,PERSONAL,A,14400,1,0.27,false,2,7.49
21,39000,MORTGAGE,5.0,EDUCATION,A,1000,0,0.03,false,3,7.49
21,52000,RENT,5.0,EDUCATION,A,7000,0,0.13,false,4,7.49
21,26000,RENT,5.0,DEBTCONSOLIDATION,A,6000,0,0.23,false,2,7.49
21,57192,MORTGAGE,0.0,MEDICAL,A,8000,0,0.14,false,3,7.49
21,50000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,5375,0,0.11,false,3,7.49
21,25200,RENT,1.0,EDUCATION,A,8250,1,0.33,false,4,7.49
21,111000,MORTGAGE,4.0,VENTURE,A,28000,0,0.25,false,2,7.49
21,66000,MORTGAGE,5.0,EDUCATION,A,4500,0,0.07,false,2,7.49
21,16200,RENT,3.0,EDUCATION,A,1200,0,0.07,false,3,7.49
21,15500,RENT,3.0,HOMEIMPROVEMENT,A,8000,1,0.52,false,4,7.51
21,10000,RENT,,MEDICAL,A,1450,0,0.14,false,4,7.51
21,36800,MORTGAGE,5.0,EDUCATION,A,12400,0,0.34,false,4,7.51
21,40000,MORTGAGE,5.0,MEDICAL,A,9000,0,0.23,false,4,7.51
21,40000,RENT,5.0,VENTURE,A,10000,0,0.25,false,4,7.51
21,40000,RENT,3.0,EDUCATION,A,4000,0,0.1,false,2,7.51
21,54000,MORTGAGE,5.0,VENTURE,A,13000,0,0.24,false,4,7.51
21,12000,OWN,5.0,EDUCATION,A,2500,1,0.21,false,4,7.51
21,34500,MORTGAGE,3.0,EDUCATION,A,6400,0,0.19,false,2,7.51
21,125000,MORTGAGE,0.0,PERSONAL,A,10000,0,0.08,false,2,7.51
21,21600,RENT,2.0,DEBTCONSOLIDATION,A,3500,0,0.16,false,2,7.51
21,45000,MORTGAGE,5.0,PERSONAL,A,10000,0,0.22,false,2,7.51
21,20000,RENT,2.0,MEDICAL,A,9000,1,0.45,false,4,7.51
21,62000,MORTGAGE,2.0,DEBTCONSOLIDATION,A,6000,0,0.1,false,2,7.51
21,30000,MORTGAGE,0.0,MEDICAL,A,7125,1,0.24,false,4,7.51
21,40000,RENT,0.0,MEDICAL,A,4200,0,0.1,false,4,7.51
21,24996,OWN,5.0,VENTURE,A,5000,0,0.2,false,2,7.51
21,35000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,13650,0,0.39,false,4,7.51
21,26400,OWN,2.0,VENTURE,A,4000,0,0.15,false,4,7.51
21,30000,RENT,4.0,MEDICAL,A,6000,0,0.2,false,3,7.51
21,55000,MORTGAGE,5.0,EDUCATION,A,10500,0,0.19,false,3,7.51
21,45000,RENT,2.0,EDUCATION,A,7000,0,0.16,false,4,7.51
21,30000,MORTGAGE,0.0,VENTURE,A,15000,0,0.5,false,4,7.51
21,36500,RENT,2.0,VENTURE,A,5500,0,0.15,false,2,7.51
21,42000,RENT,5.0,DEBTCONSOLIDATION,A,8500,0,0.2,false,4,7.51
21,38500,MORTGAGE,5.0,PERSONAL,A,6500,0,0.17,false,3,7.51
21,62000,MORTGAGE,2.0,PERSONAL,A,6000,0,0.1,false,4,7.51
21,46800,MORTGAGE,,MEDICAL,A,5000,0,0.11,false,4,7.51
21,25000,MORTGAGE,6.0,PERSONAL,A,1000,0,0.04,false,3,7.51
21,15600,RENT,,EDUCATION,A,7000,1,0.45,false,2,7.51
21,27000,RENT,1.0,EDUCATION,A,4800,0,0.18,false,2,7.51
21,31000,MORTGAGE,5.0,PERSONAL,A,6000,0,0.19,false,4,7.51
21,28000,RENT,0.0,DEBTCONSOLIDATION,A,8000,0,0.29,false,4,7.51
21,45000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,8000,0,0.18,false,4,7.51
21,60000,RENT,0.0,PERSONAL,A,12000,0,0.2,false,3,7.51
21,42000,MORTGAGE,6.0,EDUCATION,A,3500,0,0.08,false,2,7.51
21,46800,MORTGAGE,,DEBTCONSOLIDATION,A,5000,0,0.11,false,3,7.51
21,53000,RENT,5.0,EDUCATION,A,10000,0,0.19,false,4,7.51
21,45000,RENT,3.0,VENTURE,A,4800,0,0.11,false,4,7.51
21,58951,MORTGAGE,5.0,MEDICAL,A,3000,0,0.05,false,4,7.51
21,53000,OWN,5.0,MEDICAL,A,3000,0,0.06,false,4,7.51
21,64000,OWN,5.0,MEDICAL,A,10000,0,0.16,false,3,7.66
21,52500,RENT,0.0,DEBTCONSOLIDATION,A,2225,0,0.04,false,3,7.66
21,22000,OWN,5.0,VENTURE,A,7350,0,0.33,false,2,7.66
21,35000,RENT,6.0,VENTURE,A,10000,0,0.29,false,3,7.66
21,47000,RENT,1.0,MEDICAL,A,5300,0,0.11,false,2,7.66
21,38400,RENT,5.0,EDUCATION,A,10000,0,0.26,false,4,7.66
21,62316,MORTGAGE,5.0,MEDICAL,A,10000,0,0.16,false,4,7.66
21,65004,RENT,5.0,PERSONAL,A,6000,0,0.09,false,3,7.68
21,32000,RENT,3.0,EDUCATION,A,5000,0,0.16,false,4,7.68
21,35000,MORTGAGE,1.0,MEDICAL,A,4950,0,0.14,false,4,7.68
21,41000,OWN,5.0,PERSONAL,A,5000,0,0.12,false,3,7.74
21,55000,RENT,1.0,EDUCATION,A,7500,0,0.14,false,2,7.88
21,35000,OWN,2.0,EDUCATION,A,11000,0,0.31,false,3,7.88
21,100000,RENT,1.0,DEBTCONSOLIDATION,A,7800,0,0.08,false,2,7.88
21,8004,RENT,4.0,MEDICAL,A,3000,1,0.37,false,2,7.88
21,56532,MORTGAGE,,EDUCATION,A,16000,0,0.28,false,3,7.88
21,45000,MORTGAGE,5.0,EDUCATION,A,18000,0,0.4,false,4,7.88
21,69000,RENT,5.0,DEBTCONSOLIDATION,A,12000,0,0.17,false,4,7.88
21,18000,RENT,3.0,EDUCATION,A,2500,0,0.14,false,2,7.88
21,50350,RENT,3.0,EDUCATION,A,3600,0,0.07,false,3,7.88
21,12000,RENT,0.0,VENTURE,A,3000,1,0.25,false,3,7.88
21,65004,MORTGAGE,5.0,MEDICAL,A,1500,0,0.02,false,4,7.88
21,12540,RENT,,HOMEIMPROVEMENT,A,2500,1,0.2,false,2,7.88
21,22000,RENT,1.0,MEDICAL,A,4800,0,0.22,false,2,7.88
21,33996,MORTGAGE,2.0,HOMEIMPROVEMENT,A,2500,1,0.07,false,3,7.88
21,45000,MORTGAGE,5.0,VENTURE,A,18000,0,0.4,false,2,7.88
21,118000,OWN,5.0,VENTURE,A,14000,0,0.12,false,3,7.88
21,51000,MORTGAGE,5.0,PERSONAL,A,6000,0,0.12,false,2,7.88
21,40200,MORTGAGE,5.0,MEDICAL,A,7200,0,0.18,false,2,7.88
21,37423,RENT,5.0,VENTURE,A,2800,0,0.07,false,4,7.88
21,35000,OWN,2.0,MEDICAL,A,11000,0,0.31,false,2,7.88
21,66000,MORTGAGE,4.0,DEBTCONSOLIDATION,A,7000,0,0.11,false,2,7.88
21,37423,RENT,5.0,MEDICAL,A,2800,0,0.07,false,4,7.88
21,33600,OWN,5.0,MEDICAL,A,10000,0,0.3,false,2,7.88
21,28000,OWN,3.0,VENTURE,A,4000,0,0.14,false,3,7.88
21,47664,RENT,5.0,DEBTCONSOLIDATION,A,4800,0,0.1,false,2,7.9
21,15000,OWN,0.0,HOMEIMPROVEMENT,A,6200,1,0.41,false,2,7.9
21,31544,MORTGAGE,,MEDICAL,A,2200,0,0.07,false,2,7.9
21,44000,RENT,5.0,MEDICAL,A,7500,1,0.17,false,3,7.9
21,52000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,5000,0,0.1,false,3,7.9
21,39900,RENT,0.0,VENTURE,A,12000,0,0.3,false,3,7.9
21,15600,RENT,0.0,MEDICAL,A,2000,0,0.13,false,2,7.9
